DATE_KEY,ETL_BATCH_ID,TOTAL_DELIVERIES,ON_TIME_DELIVERIES,TOTAL_WEIGHT_KG,TOTAL_DISTANCE_KM,TOTAL_FUEL_LITERS,AVG_DELIVERY_TIME_MINUTES,TOTAL_COST,TOTAL_REVENUE,CREATED_AT
20260808,1790218835,24,21,10870.83,20481.38,2325.29,24.666667,8074137.5,5915415,2026-09-23 20:00:58.992
20260727,1790217459,318,268,120004.28,175251.6,20173.05,31.937107,31446271.64,66362140,2026-09-23 19:38:14.857
20260726,1790217459,349,291,166097.9,185350.95,21421.92,33.13467,33530242.51,90028950,2026-09-23 19:38:14.857
20260802,1790217459,312,237,101519.63,185455.87,21525.15,40.413462,33017381.65,56999815,2026-09-23 19:38:14.857
20260725,1790217459,341,285,142198.76,206636.72,23639.91,33.117302,43332221.66,77919380,2026-09-23 19:38:14.857
20260807,1790217459,214,175,95888.91,129406.65,14890.43,34.168224,23203425.01,52224455,2026-09-23 19:38:14.857
20260729,1790217459,284,240,120826.68,158900.22,17869.36,31.295775,28580315.86,66093340,2026-09-23 19:38:14.857
20260805,1790217459,327,271,124215.04,184374.06,21973.26,32.538226,32927224.11,68647520,2026-09-23 19:38:14.857
20260806,1790217459,307,263,139958.36,187451.04,22209.8,29.664495,34947166.67,76119180,2026-09-23 19:38:14.857
20260728,1790217459,332,275,146848.27,187267.4,21258.2,33.057229,34037827.48,80064135,2026-09-23 19:38:14.857
20260730,1790217459,316,268,142456.7,183887.2,21181.43,30.291139,32786830.83,77548350,2026-09-23 19:38:14.857
20260731,1790217459,321,270,146151.48,189589.45,20959.82,30.352025,32075900.94,79495740,2026-09-23 19:38:14.857
20260801,1790217459,325,260,146726.22,182554.07,20838.74,34.781538,32034299.22,79863110,2026-09-23 19:38:14.857
20260804,1790217459,306,252,132108.78,181202,21307.54,33.784314,33840686.68,72174390,2026-09-23 19:38:14.857
20260808,1790217459,24,21,10870.83,20481.38,2325.29,24.666667,3703004.17,5915415,2026-09-23 19:38:14.857
20260803,1790217459,325,269,145444.89,186267.44,21902.13,31.944615,32029102.4,79222445,2026-09-23 19:38:14.857
